person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Carleton Ruminer,,1998-99,1998-99,1,1998-99,Vice President of Finance,Vice President of Finance (1998-99),"Carleton Ruminer served as vice president of finance under Stephanie Cosby, presenting the 1998-99 budget to Congress on 1 September 1998 against a balance of $41,783 and reporting on it weekly through the fall semester. His stated goals for the year included extending library hours and creating a book exchange. His surname appears as Rumenier and Rumienier in SGA's 1997 minutes.","SGA Meeting Minutes, 1 Sep 1998"
Carlton Rumenier,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)",OCR also renders the surname 'Rumenicr' (9 Sep 1997).,"SGA Meeting Minutes, 9 Sep 1997"
Carlton Rumienier,,1996-97,1996-97,1,1996-97,Junior Off-Campus representative,Junior Off-Campus representative (1996-97),OCR also renders 'Carleton Rumienier'.,"SGA Meeting Minutes, 3 Dec 1996"
Carmen Willoughby,Carmen Ann Willoughby,1966-67,1967-68,2,1966-67; 1967-68,Secretary,Secretary (1966-67); Panhellenic Council Rept. (1967-68),"Carmen Ann Willoughby was elected secretary in the first Congress of Associated Students, chosen in May 1966. The founding roster records her as a junior from Bowling Green; she stayed active in Congress the following year as its Panhellenic Council representative. During the same period she was prominent elsewhere on campus: the Herald reported on 14 September 1967 that she had been selected to head the Talisman yearbook staff, and on 14 December 1967 that she had been named a campus Top Scholar. Carmen Willoughby served as secretary of the first Associated Student Congress in 1966-67, then returned for 1967-68 in a Panhellenic Council seat. That September the Herald reported she had been selected to head the Talisman staff, and in December it named her a Top Scholar.","UA3/3/1 Associated Student Government Officers 1967-68; UA3/3/1 Congress of Associated Students, roster of the first Congress elected May 1966"
Carol Bass,,1967-68,1970-71,2,1967-68; 1970-71,Student Activities Committee,Student Activities Committee (1967-68); Senator (1970-71),"She was already in the Associated Students in 1966-67, a year earlier than the archive records her. The group caption on p. 136 of the 1967 Talisman lists Carol Bass in the second row. The archive currently has her first serving in 1967-68. Bass was recorded under Associated Students at some point during her time at Western, according to the Talisman's senior directory compiled for her senior year, 1970-71, which also lists her in Kappa Delta and as a Sigma Nu Sweetheart. The archive separately records a Carol Bass on the Associated Students' Student Activities Committee in 1967-68; the entries are kept apart because no source states they are the same student.","1971 Talisman, senior directory; UA3/3/1 Associated Student Government Officers 1967-68"
Carol Gray,,1970-71,1970-71,1,1970-71,Secretary,Secretary (1970-71),"Carol Gray was secretary of Associated Students in 1970-71, under president John Lyne, who ran unopposed. As with treasurer Brett Butler, the only record of her in this archive is the Executive Council photograph caption in the 1971 Talisman; Lyne's signed essay on the year does not discuss individual officers, so no further detail of Gray's term survives here.","1971 Talisman, Associated Students, p. 67"
Carol Sue Norcia,,1986-87,1986-87,1,1986-87,"member, Associated Student Government","member, Associated Student Government (1986-87)","Pictured in the ""Associated Student Government"" group photograph, front row.","1987 Talisman, p.114"
Caroline Miller,,1985-86,1986-87,2,1985-86; 1986-87,"Chairman, Legislative Research Committee","Chairman, Legislative Research Committee (1985-86); member, Associated Student Government (1986-87)","Caroline Miller chaired the Legislative Research Committee of Associated Student Government in 1985-86. At the Congress's closing meeting of 15 April 1986 she brought the spring session's last block of legislation to the floor, recommending approval of eight items, including making the Kentucky Intercollegiate State Legislature delegation a standing ASG committee, amending ASG's by-laws, and placing a welcome sign on campus, while recommending against 86-30-S, which would have retained the existing faculty evaluation system. All of that night's legislation passed regardless: the eight recommended items were approved unanimously, by amendment, or viva voce, and Congress also passed 86-30-S unanimously, over Miller's committee's objection. Miller was probably also the Caroline Miller who served as a delegate to the Kentucky Intercollegiate State Legislature, the mock-legislature program ASG made a standing committee that spring. In the 1986 Talisman's account of campus political groups, the delegation's chairman, Lori Scott, named that Miller's election as the group's lieutenant governor one of the year's biggest accomplishments. Pictured in the ""Associated Student Government"" group photograph, back row.","1987 Talisman, p.114; ASG minutes, 15 April 1986"
Caroline Simpson,Lane (Caroline) Simpson,2016-17,2018-19,2,2016-17; 2018-19,Associate Justice,Associate Justice (2016-17); Associate Justice (2018-19),"The page gives the name as ""Lane (Caroline) Simpson""; the 2018-19 council page lists her as Caroline Simpson. Caroline Simpson served as an Associate Justice on the SGA Judicial Council in 2016-17 and again in 2018-19; SGA's own site recorded her as ""Lane (Caroline) Simpson"" in the earlier year and as ""Caroline Simpson"" in the later one.","SGA Judicial Council page, archived 1 Nov 2016 (last modified 29 Aug 2016); SGA Judicial Council page, archived 20 Jul 2019 (last modified 17 Apr 2019)"
Caroline Yates,,2024-25,2025-26,2,2024-25; 2025-26,Senator,Senator (2024-25); CEBS Senator (2025-26),"Confirmed by unanimous voice vote to the Graduate Advisory Council on 17 September 2024 -- a university-committee appointment, which is not on its own proof of a Senate seat. But she is addressed as Senator Yates and answers questions in floor debate on 1 October 2024 (Resolution 4-24-F) and 15 October 2024 (Bill 5-24-F), appears in the Senate's own roll-call absence list on 19 November 2024, and is addressed again by a guest speaker on 11 February 2025. No other Yates appears in the 2024-25 minutes. By 19 November 2024 the Graduate Advisory Council report records no Graduate Senator, where Caroline Yates had been listed weeks before, which suggests her seat's own title may have been Graduate Senator and that she had left it by then -- an inference, not proof, so the seat is left unset. The Herald reported her authoring a bill as Senator Caroline Yates on 11 November 2025, which confirms she held a Senate seat as a continuing member in a later year. Caroline Yates served as the College of Education and Behavioral Sciences senator in 2025-26. She co-authored Bill 19-26-S, funding the ""Fuel Up for Finals"" tabling event, and Resolution 4-25-F, supporting the installation of drinking water dispensers, printers and computers in residence halls; the resolution stated that five of the university's sixteen open residence halls lacked a working water fountain and that none gave students access to a printer or computer.","SGA Senate minutes, 17 Sep 2024; SGA legislation: Bill 19-26-S, Fuel Up for Finals"
Carolyn Ragland,,1971-72,1971-72,1,1971-72,Senator,Senator (1971-72),"Carolyn Ragland sat in the Associated Students Congress in 1971-72, under president Linda Jones, vice president Reginald Glass, secretary Nancy Pape and treasurer Joe Glasser. The Congress group photograph on pp. 272-273 of the 1972 Talisman is the only record of the term found: it names the members and gives no office, seat or committee. The same pages record the Congress's year - elections for class officers, Who's Who and Homecoming queen, an October mock election for governor, an autumn symposium at which students questioned administrators, a renewed attempt at constitutional revision, and the revival of the Kentucky Student Association among the state's student governments.","1972 Talisman, pp. 272-273"
Carrie Huber,,1998-99,1998-99,1,1998-99,Rank-and-file Congress member; sworn in 19 Jan 1999 (seat not specified in the minutes),Rank-and-file Congress member; sworn in 19 Jan 1999 (seat not specified in the minutes) (1998-99),Only appearance in the corpus is this swearing-in.,"SGA Meeting Minutes, January 19, 1999"
Carry Jones,,1980-81,1980-81,1,1980-81,Congress member,Congress member (1980-81),"Named among the Congress members recorded absent, 17 Feb 1981; read as 'Carry' against a rendered image of the scan, not the OCR text layer, which had misread it as Carey.","ASG Minutes, 17 Feb 1981"
Carter Hendricks,,1996-97,1996-97,1,1996-97,"Congress member, per roll call (seat not stated)","Congress member, per roll call (seat not stated) (1996-97)","Recorded absent from the roll call of 10 Sep 1996, against a roster the minutes do not print in full.","SGA Meeting Minutes, 10 Sep 1996"
Carter Jackson,,2014-15,2014-15,1,2014-15,Senator,Senator (2014-15),Sworn in as a new senator on 30 September 2014; voted in a roll-call vote on 24 February 2015.,"SGA Senate minutes, 30 Sep 2014"
Carter Smith,,2025-26,2025-26,1,2025-26,Freshman Senator,Freshman Senator (2025-26),"Smith ran for and was sworn in as a freshman senator in September 2025, and was elected a sophomore senator in the spring 2026 election.","SGA legislation: Bill 24-26-S, A Bill to Fund Massage Therapy Vouchers for Student Stress Relief During Finals Week"
Cassidy Townsend,,2016-17,2018-19,3,2016-17; 2017-18; 2018-19,SGA SAVES Chair,SGA SAVES Chair (2018-19); Senator At-Large (2016-17); Senator (2017-18),"Named on the document as senator at-large. Townsend sat for the international students' organisation. She co-authored Bill 9-18-S, which replaced two at-large seats and a graduate seat with first-generation, transfer and international seats; Bill 22-18-S, which renamed the 'English as a Second Language international student senator' simply the international student senator; and the bill funding the first meeting of the Committee of Diversity and Inclusion. Townsend was elected a senator-at-large in the September 2016 fall elections and was re-elected to the Senate the following year. In April 2017 she authored a resolution, passed unanimously, calling for more centrally located and better-stocked vegetarian and vegan food options on WKU's dining campus, arguing existing options like Freshens and Burrito Bowl were poorly located or had limited hours. In September 2018 she was confirmed to chair the Standing Against Violence and Ending Self-Harm (SAVES) committee; the Senate's own minutes recorded the seat vacant again by the following January. As SAVES chair she authored Bill 8-18-F, allocating $150 to SGA's student ID voucher program, which passed the same October 2018 meeting the Senate postponed a more contentious bill barring SGA funding to Greek organizations.","SGA Senate minutes, 25 Sep 2018; SGA legislation: Bill 9-18-S, A Bill to Amend the Constitution of the Student Government Association of Western Kentucky University; SGA legislation: Resolution 9-17-S, Resolution to Support the Expansion of Vegan and Vegetarian Options on Campus"
Cassie Martin,,1997-98,2000-01,4,1997-98; 1998-99; 1999-00; 2000-01,president,president (2000-01); President (2000-01); Vice President of Public Relations (1998-99); Vice President (1999-00); Freshman Council (1997-98),"Elected to Freshman Council on 3 Feb 1998 (OCR renders the surname 'Manin'). Cassie Martin introduced herself to Congress as the new vice president of public relations on 19 January 1999. She took over the Coming Home and Bowl for Kid's Sake events and handled SGA's advertising in the College Heights Herald. Coates's running mate; elected SGA president the following year, 2000-01. Cassie Martin, a junior from Glasgow, was elected SGA president in April 2000 to lead the association for 2000-2001. With running mate Leslie Bedo, she defeated the ticket of Duan Wright and Dwight Campbell by 654 votes to 541, and the win also made her the student representative on Western's Board of Regents. The race followed weeks of Herald coverage of proposed SGA election-code reforms meant to close loopholes and set spending limits, and the Martin-Wright contest itself was covered from the candidacy announcement in late March through a pre-election issues debate. Her most visible stand of the year came at the Board of Regents meeting on October 27, 2000, when the board voted 8-2 to raise the student athletic fee by $80 in two installments. Martin was one of only two dissenters, alongside Faculty Regent Mary Ellen Miller. She said she understood the need for the additional funding but questioned the timing and the amount, and disagreed with raising student fees in the middle of an academic year. SGA's congress in 2001 passed legislation putting $13,000 toward a campus gazebo that was never built. In October 2002 the Herald reported that the money had mistakenly gone back into SGA's general fund and been spent on other things, including computers, and SGA's finance vice president said leaders from the past two years, including former presidents Martin and Leslie Bedo, were all partly responsible for not properly earmarking it. Cassie Martin, a junior from Glasgow, was elected SGA president in April 2000 to lead the association for 2000-2001. With running mate Leslie Bedo, she defeated the ticket of Duan Wright and Dwight Campbell by 654 votes to 541, and the win also made her the student representative on Western's Board of Regents. Also student regent.","Herald 74:51, 15 Apr 1999; SGA Meeting Minutes, 19 Jan 1999; SGA Meeting Minutes, 3 Feb 1998; WKU news release, 14 Apr 2000 (archived)"
Catherine Havel,,2011-12,2011-12,1,2011-12,Senator,Senator (2011-12),"Approved as a senator at large in a blanket vote on 28 February 2012, alongside JD Shadburne, Hayley Wilkins, Richard Crumbie, Tori Conyers and Kevin Adams. Continued as an active senator into May, questioning the gender-neutral housing resolution on 1 May 2012.","SGA Senate minutes, 28 Feb 2012"
Cathi Stillwell,,1971-72,1971-72,1,1971-72,Sophomore class secretary,Sophomore class secretary (1971-72),"Named in the 1972 Talisman's sophomore class pages as sophomore class secretary for 1971-72. The 1972 Talisman's class pages record that the class structure carried no separate power of its own, leaving its officers to direct their attention at the Associated Students Congress.","1972 Talisman, sophomore class pages"
Cathy Ashabraner,,1970-71,1970-71,1,1970-71,Rules and Elections Committee,Rules and Elections Committee (1970-71),"Ashabraner sat on the Associated Students Rules and Elections Committee in 1970-71, the committee that set election law, decided disputes arising from elections and reported on proposed constitutional amendments. The 1971 Talisman's photograph caption for the committee is the only record of the term found.","1971 Talisman, p. 68, Rules and Elections Committee photograph caption"
Cathy Murphy,,1975-76,1977-78,2,1975-76; 1977-78,Administrative Vice President,"Administrative Vice President (1977-78); member, Associated Student Government (1975-76)","Named on the ASG's own printed ""Attendance Roll: Effective as of April 6, 1976,"" a roster of Congress members with a meetings-missed count, introduced by a quote from Nancy Wilk, ASG Secretary, on the policy of removing a member from Congress after four absences. Cathy Murphy ran for ASG administrative vice president in the April 1977 election and defeated Jim Keffer, 580 votes to 446, to take the office for 1977-78. The Herald's index for 26 September 1975 lists a report headlined ""Roger Phelps, Cathy Murphy Elected to Top Freshman Offices,"" but the archive does not preserve the report itself, and the 1978 Talisman lists two students of that name, so whether the freshman officer and the ASG vice president were the same person is not established. The year before her election she had written for ASG's own Student Insight supplement about the second cheque-cashing centre that outgoing officers Steve Henry and Christy Vogt had obtained for students at the College Heights Bookstore. In office, the 1978 Talisman's yearbook caption for a March 1978 ASG meeting shows her alongside president Bob Moore, activities vice president David Bass and secretary Sharon May at what the caption calls ""a light moment""; the same yearbook page identifies her simply as vice president.","1976 Talisman, ASG Attendance Roll, p. 62-63; Herald 52:53, 15 Apr 1977"
Cathy Snellen,,1975-76,1975-76,1,1975-76,"member, Associated Student Government","member, Associated Student Government (1975-76)","Named on the ASG's own printed ""Attendance Roll: Effective as of April 6, 1976,"" a roster of Congress members with a meetings-missed count, introduced by a quote from Nancy Wilk, ASG Secretary, on the policy of removing a member from Congress after four absences.","1976 Talisman, ASG Attendance Roll, p. 62-63"
Catlette Evans,,1966-67,1966-67,1,1966-67,Representative of General College Clubs,Representative of General College Clubs (1966-67),"Held the same seat in the first Congress elected in May 1966 and again in 1967-68, and sat on the Executive Committee in 1967-68 without holding an executive office.","UA3/3/1, President's Office roster of the first Congress of Associated Students, elected May 1966"
Cayden Bailey,,2024-25,2026-27,3,2024-25; 2025-26; 2026-27,"Chair, Outreach and Public Relations Committee","Chair, Outreach and Public Relations Committee (2025-26); Freshman Senator (2024-25); Senator At Large (2025-26); Chief Communications Officer (2026-27)","Named as an author, with the seat title, on Resolution 1-25-S, 18 February 2025. Otherwise appears only as the bare surname ""Senator Bailey"" in absence lists and debate from 22 October 2024 onward. Named as an author on three pieces of SGA legislation in the 2025-26 session: Bill 5-25-F (A Bill to Fund Giveaway Initiatives to Increase Publicity of the Student Government Association); Bill 25-25-F (Funding for the Western Kentucky University “Professor of The Month” Award); Bill 9-26-S (Funding for Additional SGA Student ID Vouchers). Named as an author on three pieces of SGA legislation in the 2025-26 session: Bill 5-25-F, Bill 25-25-F and Bill 9-26-S. Cayden Bailey was elected a junior senator in SGA's April 2026 election. He was sworn in as chief communications officer at the senate's first meeting of the new term on 28 April 2026, succeeding outgoing Chief Communications Officer Preston Jenkins.","Herald, 28 Apr 2026; SGA Senate minutes, 18 Feb 2025; SGA legislation: Bill 5-25-F, A Bill to Fund Giveaway Initiatives to Increase Publicity of the Student Government Association; WKU SGA, Senate minutes, 14 Apr 2026"
Chad Lewis,,1995-96,1998-99,4,1995-96; 1996-97; 1997-98; 1998-99,Executive Vice President,Executive Vice President (1998-99); Treasurer (1997-98); Freshman Council Representative (1995-96); Sergeant of Arms (1996-97),"""Freshman Chad Lewis"" elected to fill the open Freshman Council position 2 Oct 1995; absent from roll call 10 Oct 1995 (the earlier note's claim that he does not reappear in later minutes is incorrect and is corrected here). Chad Lewis was elected to Congress as a freshman council member in the fall of 1995. He served as Sergeant of Arms in 1996-97, and Congress named him, alongside the parliamentarian, a Public Relations award winner on 19 November 1996. As treasurer in 1997-98 he presented a budget of $41,756 for approval in September 1997 and reported that November that expenditures to date stood at $11,150.68 against a balance of $30,605.32. In April 1998 the Herald covered his campaign for vice president as a contested race against Laura Hancock, under the headline ""Race for Student Government Association Vice Presidency Heats Up."" He was elected executive vice president for 1998-99. As executive vice president he called Congress to order through the year in place of the president, and set goals of a spring turnout of 1,400 voters, every Congress seat filled, and a doubling of Provide-A-Ride use. By January 1999 he reported more than 100 people had used the ride service in the last week of the fall semester. Chad Lewis served as treasurer under Keith Coffman, presenting a 1997-98 budget of $41,756 for Congress's approval in September 1997. By November he reported expenditures of $11,150.68 against a remaining balance of $30,605.32. He was elected executive vice president for the following year. As executive vice president under Stephanie Cosby in 1998-99, Chad Lewis called Congress to order in the president's absence throughout the year. He set goals of turning out 1,400 voters in the spring election, filling every Congress seat, and doubling use of the Provide-A-Ride service, and reported in January 1999 that more than 100 students had used the ride service in the final week of the fall semester.","SGA Executive Council Minutes, 18-19 Jul 1998; SGA Meeting Minutes, 19 Nov 1996; SGA Meeting Minutes, 2 Oct 1995; SGA Meeting Minutes, 9 Sep 1997"
Chad Nuckols,,1997-98,1997-98,1,1997-98,Sophomore Off-Campus representative,Sophomore Off-Campus representative (1997-98),Seated as Sophomore Off-Campus representative by floor motion on 7 Oct 1997 (recorded there as 'Chad Knuckles').,"SGA Meeting Minutes, 7 Oct 1997"
Chad Reagan,,1991-92,1991-92,1,1991-92,Congress member (seat not specified in minutes),Congress member (seat not specified in minutes) (1991-92),On the absence roll at 17 Sept and 24 Sept 1991 only. No later mentions.,"ASG Minutes, 17 Sept 1991"
Chad Winston,,2010-11,2010-11,1,2010-11,Senator,Senator (2010-11),"Sworn in as a senator by President Jessie on 8 February 2011, alongside Brittany Crowley and David Spalding.","SGA Senate minutes, 8 Feb 2011"
Chandy Christian,,1981-82,1981-82,1,1981-82,Congress member,Congress member (1981-82),"Named in the roll-call absence list of 20 October 1981. Asked Congress members to attend the KSU Rally on 6 October 1981, and seconded the motion on 27 October 1981 that postponed Resolution 81-5 indefinitely.","ASG Minutes, 20 Oct 1981"
Charles Boteler,,1972-73,1972-73,1,1972-73,Administrative Vice President,Administrative Vice President (1972-73),"Charles Boteler was elected administrative vice president of the newly renamed Associated Student Government for 1972-73, the first year the vice presidency was split in two under a revised constitution; Boteler held the administrative half while Mike Fiorella, later that year's student regent, held the activities half. Boteler was also prominent in campus electoral politics that year. The 1973 Talisman records him co-leading, with Pat Long, the student effort behind George McGovern's 1972 presidential campaign at Western, running a voter-registration drive and organizing for the Warren County Democratic caucus. He served as an alternate delegate pledged to McGovern at the Democratic National Convention, and helped lead a McGovern-Shriver teach-in on the Vietnam War alongside faculty members Jim Wayne Miller and Nick Kafoglis.","1973 Talisman, Associated Students"
Charles Bussell,,1980-81,1980-81,1,1980-81,Congress member; Representative-at-Large,Congress member; Representative-at-Large (1980-81),"Appointed Representative-at-Large by President Fuller with the consent of Congress, 11 Nov 1980; named among the Congress members recorded absent, 17 Feb 1981. Confirmed 'Bussell' against a rendered image of both scans, not the OCR text layer, which had misread it as Russell.","ASG Minutes, 11 Nov 1980"
Charles Carneal,,1995-96,1995-96,1,1995-96,"Congress member, per roll call (seat not stated)","Congress member, per roll call (seat not stated) (1995-96)","Absent from roll call as ""Charles Carneal"" 10 Oct, 24 Oct and 14 Nov 1995; absent again as ""Brad Carneal"" 16 Jan, 23 Jan and 13 Feb 1996 -- the first-name spelling is inconsistent across the two halves of the year and the minutes give no other identifying detail, so this may be one person or two people sharing a surname.","SGA Meeting Minutes, 10 Oct 1995"
Charles J. Young,,1994-95,1994-95,1,1994-95,Sr. Off Campus Rep.,Sr. Off Campus Rep. (1994-95),"He was one of six senior off-campus representatives on the Fall 1994 membership list, sitting with Angelo J. Rodriguez, Edward Myers, Annemarie Maxwell, Lena S. Garner and Heather Renee Meenach. His name is not in the attendance roll of any of the twenty-five meetings of 1994-95, and because the roll names only absentees, the record gives him a full year of attendance. Among the measures Congress carried that year were Resolution 94-1-F to repaint the informational sign and Bill 94-1-F on homecoming and coming home candidates.",SGA Records: Membership List Fall 1994
Charles Rogers,,1998-99,1998-99,1,1998-99,"Sworn in as an At-Large member, 1 Dec 1998","Sworn in as an At-Large member, 1 Dec 1998 (1998-99)",Recorded absent at roll call repeatedly through February 1999.,"SGA Meeting Minutes, December 1, 1998"
Charlie Harris,,2007-08,2010-11,3,2007-08; 2008-09; 2010-11,Chief of Staff,Chief of Staff (2010-11); Director of Information Technology (2007-08); Director of Information Technology (2008-09),"Reporting as IT director by the 29 January 2008 meeting; he stayed in the post into the following year and was building a new SGA website and a blog. Nominated on 26 August 2008 with a new website and an SGA blog in progress, and named to the Technology Advisory Committee; the office was recorded as unassigned at the 28 October 2008 meeting. Charlie Harris served as SGA's director of information technology in 2007-08 and 2008-09, building a new SGA website and blog; the office was recorded as unassigned by the Senate's 28 October 2008 meeting. A Morganfield senior, Harris told the Herald in May 2011 that he had been an SGA senator his freshman year, resigned during his sophomore year, and was persuaded by President Colton Jessie to return for his senior year as chief of staff. Outside SGA, he co-founded WKU Americans for Informed Democracy with fellow student Matt Vaughan during their freshman year and did extensive work on the ONE Campaign and Earth Day activities. Jessie praised him publicly as an outstanding WKU student with ""a work ethic like I've never seen."" As chief of staff, Harris helped run SGA's awareness campaign for the Downing University Center renovation; at the meeting reported on 2 February 2011 he said SGA would begin holding sessions in DUC the following week, with open forums where students could discuss the renovation plans with officers in more depth.","Herald, 2 Feb 2011; SGA Senate minutes, 26 Aug 2008, TopSCHOLAR; SGA Senate minutes, 29 Jan 2008, TopSCHOLAR"
Charlie Walker,,2001-02,2002-03,2,2001-02; 2002-03,"Chair, Student Affairs","Chair, Student Affairs (2002-03); Sworn in as an At-Large Congress member, 12 Feb 2002 (2001-02)","Given an award, with D.J. Campbell, for helping set up computer polling stations, 9 Apr 2002 (minutes_835.pdf); also nominated for the year-end ""Stewart"" award the same night. Congress approved Katie Dawson and Tim Howard as co-chairs of the committee on 29 January 2003, on the President's appointment; the minutes do not record what became of Walker.","SGA Meeting Minutes, 27 Aug 2002; SGA Meeting Minutes, February 12, 2002"
Chase Coffey,,2016-17,2016-17,1,2016-17,WKU Student/SGA Senator,WKU Student/SGA Senator (2016-17); Senator (2016-17),"Chase Coffey served as a WKU Student/SGA senator during the 2016-17 year. He was one of five authors, with Jody Dahmer, Josh Knight, Francisco Serrano and Andi Dahmer, of Bill 14-16-F, which the Senate passed 27-4-1 on Nov. 29, 2016 to create the $750 Jonesville Memorial Scholarship for incoming African American students from the Warren County or Bowling Green school systems, memorializing the historically Black Jonesville neighborhood WKU displaced during its 1960s campus expansion. At the Feb. 21, 2017 meeting Coffey introduced a resolution to let former senators who had resigned in good standing attend SGA's year-end banquet; the Senate passed it unanimously, but the Executive Council vetoed it as unconstitutional. Coffey then announced his own resignation, citing a scheduling conflict with a night class, and thanked the Senate ""for getting to serve beside you all through the Fall."" A freshman, Olga Shoyat, was appointed to fill his seat. Coffey authored Bill 14-16-F, which created the Jonesville Memorial Scholarship - $750 for incoming African American students out of the Warren County and Bowling Green school systems, passed 27-4-1 on 29 November 2016. He also wrote Resolution 1-17-S, to let former senators in good standing attend the SGA awards banquet, which failed on 21 February 2017.","SGA Bill 14-16-F, 2016-17 session; SGA legislation: Bill 14-16-F, Funding for the Jonesville Scholarship"
Chase Goff,,2007-08,2007-08,1,2007-08,Senator,Senator (2007-08),"Voted onto the Student Senate, 2 Feb 2008.","SGA Meeting Minutes, 2 Feb 2008"
Chelsea Faught,,2015-16,2015-16,1,2015-16,Sustainability Committee Chair,Sustainability Committee Chair (2015-16),"President Jay Todd Richey appointed Chelsea Faught chair of the Sustainability Committee at the Senate's 29 September 2015 meeting, an appointment approved unanimously; she reported that 14 people had attended the committee's first meeting the week before. Her committee ran a Thanksgiving food drive with the WKU Food Pantry that November, organised a green tour of the campus and the Earth Day festival, and worked toward a resolution on recycling in the food courts. That resolution, Resolution 3-16-S, supporting recycling efforts in the Downing Student Union, Garrett Conference Center and Tower food courts, passed without debate at the Senate's last meeting of the year on 27 April 2016. ""There are no recycling bins in these food courts,"" she told the Herald. The following November, after she had left the committee, the Senate passed Bill 16-16-F making Sustainability a permanent standing committee under the SGA constitution, citing ""the past three semesters"" of the committee's work; Faught, by then no longer an officer, was one of its co-authors.","SGA Senate minutes, 29 Sep 2015"
Chelsea Klatt,,1991-92,1991-92,1,1991-92,Congress member (seat not specified in minutes),Congress member (seat not specified in minutes) (1991-92),"On the absence roll 1 Oct, 12 Nov 1991 and 21 Jan 1992.","ASG Minutes, 1 Oct 1991"
Cherieth L. Lineweaver,Cherieth Lea Lineweaver,2006-07,2007-08,2,2006-07; 2007-08,Administrative Vice President,Administrative Vice President (2006-07); Administrative Vice President (2007-08); Secretary of the Senate (2006-07),"Moved from Secretary of the Senate to Administrative Vice President in the reshuffle after Robert Watkins's resignation; she was reporting in the office on 6 February 2007, working with Parking and Transportation. Cherieth Lea Lineweaver served as secretary of the senate for 2006-07 before moving to administrative vice president in the reshuffle that followed President Rob Watkins's resignation that November; by SGA's 6 February 2007 meeting she was working in the office with Parking and Transportation Services. She continued as administrative vice president in 2007-08, telling the Senate at its 4 September 2007 meeting that SGA had about $110,000 for the year, including $2,000 earmarked for Campus Improvements to build new shuttle shacks, and that every executive money request had to be turned into a purchase order through her office.","SGA Senate minutes, 28 Nov 2006, TopSCHOLAR; SGA Senate minutes, 4 Sep 2007, TopSCHOLAR; SGA Senate minutes, 6 Feb 2007, TopSCHOLAR"
Cherieth Lineweaver,,2005-06,2005-06,1,2005-06,Senator,Senator (2005-06),Appointed and sworn in as a Senator 7 Mar 2006; suggested an all-organizations email about the student-fee forum 14 Mar 2006 and served on the Hall of Distinguished Seniors committee. Also spelled 'Cherith'.,"SGA Meeting Minutes, 7 Mar 2006"
Cheryl Mack,,1971-72,1971-72,1,1971-72,Congress member,Congress member (1971-72),"Named in the Associated Students Congress group photograph, 1972 Talisman, pp. 272-273. The same volume records a Cheryl Mack as Panhellenic Council president, attending the Southeastern Panhellenic Conference in Florida that spring; the yearbook does not state that the two entries are the same student.","1972 Talisman, pp. 272-273"
Chloe Ralston,,2023-24,2024-25,2,2023-24; 2024-25,Freshman Senator,Freshman Senator (2023-24); Senator-At-Large (2024-25),"Ralston was sworn in as a freshman senator after the fall 2023 election. In February 2024 she co-authored a bill funding tabling during National Eating Disorder Awareness Week with Livi Ray and Savanna Kurtz. In January 2024 Executive Vice President Annalise Finch appointed her head of the Colonnade General Education Committee. Ralston ran again in the spring 2024 general election and was elected a senator-at-large for 2024-25. Ralston was elected a freshman senator in the fall 2023 elections announced 20 September, one of six students the Herald named as winners; the Herald reported that five of the six were sworn in at the following Tuesday meeting without naming which five. At the spring semester's first meeting in January 2024, Executive Vice President Annalise Finch appointed her to chair the Colonnade General Education committee. She co-authored, with Annalise Finch and Ryan Dilts, Bill 7-23-F, funding a $600 Veterans Day 5k run at Kereiakes Park, and co-authored, with Livi Ray and Savanna Kurtz, Bill 10-24-S, funding a $100 National Eating Disorder Awareness Week tabling event. She continued into 2024-25 as a Senator-At-Large and was named an author on Bill 19-25-S in March 2025. Named as author on Bill 19-25-S, 25 March 2025.","SGA Senate minutes, 25 Mar 2025; SGA legislation: Bill 10-24-S, Funding for the National Eating Disorder Awareness Week Tabling"
Chris Anderson,,2005-06,2006-07,2,2005-06; 2006-07,Senator,Senator (2005-06); Senator (2006-07),"Sworn in as a Senator 27 Sep 2005; questioned the iPod raffle bill 18 Oct 2005 and the 40th Celebration raffle 28 Mar 2006. Sworn in to the Senate at the first meeting of the fifth SGA, 5 September 2006.","SGA Meeting Minutes, 27 Sep 2005; SGA Meeting Minutes, 5 Sep 2006"
Chris Costa,,2013-14,2013-14,1,2013-14,Senator,Senator (2013-14),Moved at the Senate's 19 November 2013 meeting to revoke SGA's support for a $9 Talisman student fee approved in a 2005 ballot; the Judicial Council ruled the motion unconstitutional.,"Herald, 3 Dec 2013"
Chris Elwood,,1996-97,1996-97,1,1996-97,"Congress member, per roll call (seat not stated)","Congress member, per roll call (seat not stated) (1996-97)","Recorded absent from the roll call of 10 Sep 1996, against a roster the minutes do not print in full.","SGA Meeting Minutes, 10 Sep 1996"
Chris Gaddis,,1988-89,1988-89,1,1988-89,"Vice-Chair, Judicial Council","Vice-Chair, Judicial Council (1988-89)","Chris Gaddis was accepted by Congress as vice-chair of the Associated Student Government's Judicial Council on 6 September 1988, the first meeting of the year, alongside chair Jeff Key, and sworn in the same evening.","ASG minutes, 6 September 1988"
